Periods,Age,BeatingOrKicking_4,Firearm_5,HangingStrangulationOrSuffocation_3,HouseOfTheVictimOrOthers_8,LocationForTradeAndServices_9,OtherOrUnknownLocation_11,OtherOrUnknownMethod_7,Periods,PublicRoad_10,Sex,StabbingWeapon_6,TotalVictimsOfMurderAndManslaughter_1,VictimsMurderManslaughterRelative_2,CategoryGroupID,Description,Key,Title
2001JJ00,21400,2.0,4.0,2.0,17.0,1.0,2.0,3.0,2001JJ00,3.0,1100,12.0,23,7.8,,,21400,60 years or older
2002JJ00,21400,9.0,1.0,1.0,10.0,1.0,3.0,3.0,2002JJ00,4.0,1100,4.0,18,6.1,,,21400,60 years or older
2003JJ00,21400,7.0,1.0,5.0,16.0,3.0,8.0,9.0,2003JJ00,7.0,1100,12.0,34,23.6,,,21400,60 years or older
2004JJ00,21400,7.0,2.0,5.0,25.0,0.0,4.0,7.0,2004JJ00,4.0,1100,12.0,33,10.7,,,21400,60 years or older
2005JJ00,21400,1.0,4.0,3.0,22.0,1.0,2.0,6.0,2005JJ00,1.0,1100,12.0,26,8.3,,,21400,60 years or older
2006JJ00,21400,3.0,1.0,1.0,13.0,0.0,6.0,5.0,2006JJ00,1.0,1100,10.0,20,6.2,,,21400,60 years or older
2007JJ00,21400,3.0,3.0,1.0,6.0,2.0,2.0,1.0,2007JJ00,3.0,1100,5.0,13,3.9,,,21400,60 years or older
2008JJ00,21400,5.0,1.0,3.0,13.0,1.0,3.0,3.0,2008JJ00,1.0,1100,6.0,18,5.2,,,21400,60 years or older
2009JJ00,21400,4.0,4.0,1.0,12.0,0.0,5.0,5.0,2009JJ00,3.0,1100,6.0,20,6.8,,,21400,60 years or older
2010JJ00,21400,3.0,4.0,1.0,25.0,1.0,0.0,3.0,2010JJ00,1.0,1100,16.0,27,7.4,,,21400,60 years or older
2011JJ00,21400,8.0,5.0,2.0,14.0,3.0,2.0,2.0,2011JJ00,2.0,1100,4.0,21,5.6,,,21400,60 years or older
2012JJ00,21400,7.0,2.0,2.0,19.0,0.0,4.0,3.0,2012JJ00,1.0,1100,10.0,24,6.3,,,21400,60 years or older
2013JJ00,21400,0.0,0.0,5.0,18.0,0.0,3.0,5.0,2013JJ00,0.0,1100,11.0,21,5.4,,,21400,60 years or older
2014JJ00,21400,4.0,2.0,3.0,18.0,0.0,2.0,1.0,2014JJ00,4.0,1100,14.0,24,6.0,,,21400,60 years or older
2015JJ00,21400,4.0,2.0,2.0,11.0,0.0,4.0,1.0,2015JJ00,3.0,1100,9.0,18,4.4,,,21400,60 years or older
2016JJ00,21400,2.0,1.0,3.0,15.0,1.0,0.0,1.0,2016JJ00,2.0,1100,11.0,18,4.5,,,21400,60 years or older
